"Year.Online","Active","Announced","Partially Active","Permitting","Pipeline","Temporarily Shutdown"
1864,4,NA,NA,NA,NA,NA
1874,2,NA,NA,NA,NA,NA
1890,14.8,NA,NA,NA,NA,NA
1891,9.6,NA,NA,NA,NA,NA
1893,1.4,NA,NA,NA,NA,NA
1895,29.17,NA,NA,NA,NA,NA
1896,23.48,NA,NA,NA,NA,NA
1897,167.9,NA,NA,NA,NA,NA
1898,30.3,NA,NA,NA,NA,NA
1899,133.43,NA,NA,NA,NA,NA
1900,51.92,NA,NA,NA,NA,NA
1901,77.37,NA,NA,NA,NA,NA
1902,187.573,NA,NA,NA,NA,NA
1903,98.3,NA,NA,NA,NA,NA
1904,60.72,NA,NA,NA,21,NA
1905,227.52,NA,NA,NA,NA,NA
1906,180.272,NA,NA,NA,NA,NA
1907,450.03,NA,0,NA,NA,NA
1908,281.48,NA,NA,NA,NA,NA
1909,258.97,NA,NA,NA,NA,NA
1910,619.82,NA,NA,NA,NA,NA
1911,866.21,NA,NA,NA,103.1,NA
1912,526.98,NA,NA,NA,NA,NA
1913,662.443,NA,NA,NA,NA,NA
1914,1042.35,NA,NA,NA,NA,NA
1915,935.367,NA,0,NA,7.2,NA
1916,409.12,NA,NA,NA,NA,NA
1917,540.14,NA,NA,NA,NA,NA
1918,648.85,NA,NA,NA,NA,NA
1919,612.77,NA,NA,NA,3.4,NA
1920,556.691,NA,NA,NA,NA,NA
1921,679.003,NA,NA,NA,NA,NA
1922,1223.372,NA,NA,NA,81,NA
1923,1177.59,NA,NA,NA,NA,NA
1924,1940.04,NA,0,NA,3.4,NA
1925,2141.49,NA,0,NA,NA,NA
1926,2286.685,NA,NA,NA,3.439,NA
1927,2374.095,NA,NA,NA,NA,NA
1928,2256.308,NA,0,NA,NA,0
1929,1558.52,NA,NA,NA,NA,NA
1930,2595.89,NA,0,NA,NA,NA
1931,3624.266,NA,NA,NA,NA,NA
1932,3589.351,NA,0,NA,5.95,0
1933,1182.73,NA,NA,NA,NA,NA
1934,1040.16,NA,NA,NA,NA,NA
1935,1293.14,NA,NA,NA,NA,NA
1936,4675.526,NA,NA,NA,NA,NA
1937,918.654,NA,NA,NA,NA,0
1938,2969.61,NA,NA,NA,NA,NA
1939,1254.79,NA,NA,NA,NA,0
1940,2363.93,NA,0,NA,NA,NA
1941,8564.354,NA,NA,NA,NA,NA
1942,2740.63,NA,0,NA,255,NA
1943,4032.378,NA,NA,NA,NA,NA
1944,3546.05,NA,NA,NA,NA,NA
1945,1591.24,NA,NA,NA,NA,0
1946,1030.528,NA,NA,NA,NA,NA
1947,2820.976,NA,0,NA,132,NA
1948,3309.978,NA,NA,NA,1.12,NA
1949,3370.79,NA,NA,NA,NA,0
1950,5323.027,NA,NA,NA,15,0
1951,7055.31,NA,NA,NA,NA,0
1952,9980.12,NA,NA,NA,1.05,0
1953,11420.25,NA,NA,NA,1007,NA
1954,16999.606,NA,0,NA,40,0
1955,13933.393,NA,0,NA,448,0
1956,10783.854,NA,NA,NA,NA,NA
1957,13260.662,NA,0,NA,120.5,0
1958,21746.69,NA,0,NA,946.9,0
1959,20501.18,NA,0,NA,499.6,0
1960,22500.319,NA,0,NA,28.6,0
1961,26543.53,NA,0,NA,3018.4,0
1962,22856.09,NA,NA,NA,162,0
1963,28351.164,NA,0,NA,0,0
1964,27181.506,NA,0,NA,6.16,0
1965,31041.14,NA,0,NA,NA,0
1966,24341.57,NA,0,NA,1014,0
1967,43050.98,NA,0,NA,NA,0
1968,44382.272,NA,0,NA,NA,0
1969,53908.205,NA,0,NA,84,0
1970,54530.898,NA,0,NA,456.2,0
1971,68477.055,NA,0,NA,54,0
1972,61794.885,NA,0,NA,286,0
1973,70345.466,NA,NA,NA,NA,0
